,p_val_ttest_ind,937,949,950,966,967,968,971,984,972,973,985,988
Group,,Experimental,Experimental,Experimental,Experimental,Experimental,Experimental,Experimental,Experimental,Control,Control,Control,Control
7_All cells_Single Cells_Human_CD3- CD14-_B cells,0.27786142969821975,179.44000808652584,249.03281895240164,130.0262467191601,65.08052116209436,115.99479843953186,110.94762270780718,95.76639385672426,74.5640259093174,83.22796578653775,83.18857822724569,157.62263382861795,19.82744587335178
14_All cells_Single Cells_Human_CD3- CD14-_B cells,0.1542653176770263,166.19377543165072,180.04484304932734,,64.41742654508612,204.93962678375414,245.46862191456418,157.94338532640094,53.94724220623501,132.5,70.1946122135941,133.5135947123329,21.424017003188098
21_All cells_Single Cells_Human_CD3- CD14-_B cells,0.3887298152776887,140.8371040723982,,,63.10444316214656,165.32498509242694,123.38287628218548,,13.648347191239099,132.03846520041893,85.5521064301552,28.217087131651475,14.537351443123939
