,p_val_ttest_ind,937,949,950,966,967,968,971,984,972,973,985,988
Group,,Experimental,Experimental,Experimental,Experimental,Experimental,Experimental,Experimental,Experimental,Control,Control,Control,Control
7_All cells_Single Cells_Human_CD3- CD14-_B cells_CD19+ CCR5+,0.517133233524689,0.8086525826341858,1.477939578352532,1.1898512685914262,0.16185158209921502,0.4508019072388383,0.4611837048424289,0.6870768919874709,0.4982561036372696,0.42147018718234786,0.7614515169541939,2.6663952778343174,0.19534429431873676
14_All cells_Single Cells_Human_CD3- CD14-_B cells_CD19+ CCR5+,0.33053803276375676,1.077752117013087,1.2705530642750373,,0.2026342451874367,0.6147091108671789,1.038345933145095,0.8472944348160986,0.671462829736211,1.0952380952380953,0.6135557472917266,2.493615742827099,0.5951115834218916
21_All cells_Single Cells_Human_CD3- CD14-_B cells_CD19+ CCR5+,0.5640309856544585,1.3122171945701357,,,0.41546451240623195,1.103160405485987,1.6537575884446307,,0.16223889677550193,1.0473198133866515,1.5787139689578715,1.2507949968200127,0.700339558573854
