,blood volume,beads (BUV395) | Count,All cells | Count,All cells/Single Cells | Count,All cells/Single Cells/Human | Count,All cells/Single Cells/Human/CD3- CD14- | Count,All cells/Single Cells/Human/CD3- CD14-/B cells | Count,All cells/Single Cells/Human/CD3- CD14-/B cells/CD19+ CCR5+ | Count
Compensation Controls_APC-Cy7 Stained Control_004.fcs,,,,,,,,
Compensation Controls_Alexa Fluor 647 Stained Control_002.fcs,,,,,,,,
Compensation Controls_Alexa 700 Stained Control_003.fcs,,,,,,,,
Compensation Controls_BUV395 Stained Control_014.fcs,,,,,,,,
Compensation Controls_Unstained Control_001.fcs,,,,,,,,
examplestudy Specimen_002_937_019.fcs,125,9093,9.20E+05,9.08E+05,43190,9419,7556,49
examplestudy Specimen_002_949_020.fcs,125,8028,6.66E+05,6.60E+05,81169,9769,7227,51
examplestudy Specimen_002_966_021.fcs,125,9870,7.13E+05,7.08E+05,22806,4001,3179,10
examplestudy Specimen_002_967_022.fcs,125,9110,7.85E+05,7.76E+05,57249,11058,9335,28
examplestudy Specimen_002_968_023.fcs,125,10979,8.31E+05,8.21E+05,70517,15768,13475,57
examplestudy Specimen_002_971_024.fcs,125,10386,5.36E+05,5.29E+05,80183,10937,8202,44
examplestudy Specimen_002_972_025.fcs,125,8400,6.78E+05,6.66E+05,26204,6458,5565,46
examplestudy Specimen_002_973_026.fcs,125,10431,5.91E+05,5.84E+05,15138,4262,3661,32
examplestudy Specimen_002_984_027.fcs,125,10425,6.64E+05,6.53E+05,48583,3772,2812,35
examplestudy Specimen_002_985_028.fcs,125,6657,8.49E+05,8.24E+05,60411,5613,4444,83
examplestudy Specimen_002_988_029.fcs,125,9410,8.91E+05,8.54E+05,40690,1762,1008,28
Mean,,,,,,,,
SD,,,,,,,,
